id,zhh,zhh_pron,alias_zhh,chs,en,note_chs,note_en,variants_chs,variants_en
L45,弹開,daan6 hoi,行開；死開；走開；躝開；躝屍趷路；死埋一邊；躝；过主；趷開,走开/起开/滚,Get out of here/Get out of here/Get lost/Fuck off,一般对人，在你厌倦或者讨厌那个人向他/她消失,"Generally speaking, when you get tired of or dislike someone, you disappear from their life.",你滚；你滚开；你给我起开,Get out of here!
L46,揼咗啲嘢佢,dam1 zo2 di1 je5 keoi5,掉咗啲嘢佢；倒咗啲嘢佢,把东西倒掉/把东西扔掉,Throw things away,倒掉/扔掉/丢掉 复数；一般是劝导,Pour out/throw away/discard (plural)；it involves persuasion.,,
L47,躝街,laan1 gaai1,出街；哨街；逛街；出门,逛街/逛街去/出门,shop/Shopping/ Going shopping/Going out,躝街；带有无所事事的感觉,With a feeling of having nothing to do,,
L48,挞落地下,taat1 lok6 dei6 haa5,挞啲嘢落地下,重重甩在地下/摔在地下,Thrown heavily to the ground/slammed to the ground,重重甩/摔在地下；表示很痛,Thrown or slammed to the ground; indicates great pain.,,
L49,飛啲嘢過嚟,fei1 deoi3 to1 haai2 gwo3 lai4,,用很快速度扔一些东西过来,Throw something over very quickly,用很快速度扔一些东西过来,Throw something over very quickly,扔一双拖鞋过来,Throw a pair of slippers over
L50,揼春 ,dam2 ceon1,抌心；抌心口；揼袋；后悔；揼膥 ；趸春；呻笨 ；呻笨柒,后悔/后悔莫及/极度失望,regret/Too late to regret,原意是捶到那个卵好痛，又不好说话。暗义吃亏了自己忍不敢出声！,"The original meaning was that it hurt so much to be hit on the testicles, but it was too painful to say anything. The implied meaning was that the person suffered a loss but dared not utter a sound!",给人割韭菜了，她后悔莫及,She regretted betraying her friends and exploiting them.
L51,包剪𢱕,baau1 zin2 dap6,包𢱕,剪刀石头布,Rock Paper Scissors,,,,
L52,𢱕骨,dap6 gwat1,𢱕背脊；按摩,捶背/按摩,Back massage/massage,㩉=用力锤,㩉 = hammering,,
L53,畀人𢱕,bei2 jan4 dap6,畀人毆,给人打/揍,Beat up,,,,
L54,㩉佢镬甘嘅,dap6 keoi5 wok6 gam1 ge3,㩉佢扑劲嘅,打/揍他/她一顿厉害的,Give him/her a good beating.,给她/他点颜色看看，揍一顿厉害的,"Show him/her what's what, give him/her a good beating.",,
L55,揼功夫,dam1 gung1 fu1,揼功,所需时间较长,It takes a long time,,,,
L56,揼低佢,dap6 dai1 keoi5,掉低佢；放低佢,抛弃他/她/放下他/她,Abandon him/her,抛弃他/她/放下他/她,Abandon him/her,抛弃他/她重新出发,Abandon him/her and start over
L57,沙𦢊,saa1 buk1,吉屎；膽生毛；沙膽；夠薑；未死過；死字唔識寫；作死；夠𦢊；夠pok；沙pok,大胆/胆子大/不怕死,Bold/daring/fearless,,,,
L58,點下佢,dim2 haa5 keoi5,指點下；指點下佢,指点一下他/她,Give him/her some pointers,,,,
L59,老點,lou5 dim2,呃；坤；騙；水,欺骗/糊弄/瞎骗,to trick/to fool,特指带领受害人入局,Specifically refers to leading victims into a trap.,你不要糊弄他/她啦,Don't try to fool him/her!
L60,呃鬼食豆腐,ngaak1 gwai2 sik6 dau6 fu6,车大炮；呃鬼食道符,当我是傻子/你当我好骗吗,to lie to a ghost to eat tofu,显而易见的，不会有人信的谎言, to deceive somebody using a poor excuse or lies that are easily seen through; lterally: to trick a ghost to eat bean curd,你骗谁呢！当我傻子呢！,Who are you trying to fool?! Do you think I'm stupid?!
L61,侧侧膊,zak1 zak1 bok3,"推卸責任；搏懵
",推卸责任,shirking responsibility,推卸责任,to shirk responsibilities and muddle through,,
L62,壽頭,sau6 tau4,"蠢材；低能仔；大番薯；人頭豬腦；烚熟狗頭；柒頭；水鱼",蠢人/低能者,blockhead/moron/nitwit,方言。指昧於人情世故，易受愚弄欺騙的人,(noun) a blockhead; a dullard; a nitwit; a moron,,
L63,傻閪,so4 hai1,傻仔；傻鸠；傻佬；扑街仔；蒸生瓜；戇居居；傻更更,傻子/愚蠢的人/傻乎乎/sb,idiot/Stupid/tosser,愚蠢的人，​有藐视的意思​,silly lad; foolish ,,
L64,水鱼,seoi2 jyu2,老襯；戆撚；俾人揾笨；契爷；揾笨柒；壽頭；揾笨,容易上当受骗的人/冤大头/割韭菜,milking me dry/fleecing us,形容鳖有钱的傻瓜，容易上当受骗，轻易相信别人,Describing a rich fool as someone easily deceived and readily trusting others.,很怕被人宰,
L65,傻到閪噉,so4 dou2 hai1 gam2,傻撚到哩；傻到冇朋友；傻到笑；傻度驚,笨到极致/傻到一个点,moron/boneheaded ,不是一般的傻,"boneheaded,Not just stupid",,
L66,戇鳩,ngong6 gau1,戇鳩仔；柒下柒下；戇直,沙雕/傻屌/傻叼/呆萌,dunce/Stupid dick,不该硬的时候硬，浪费精力；形容不应该出风头的偏要说自己多牛逼,Being assertive when you shouldn't is a waste of energy; it describes someone who insists on showing off when they shouldn't.,评论人的一种状态，别人在局外人评价当事人行为,"A state of mind for commentators，Others, as outsiders, evaluate the behavior of the parties involved."
L67,懵撚,mung2 lan2,碌葛；懵炳；腦入水；反应迟钝；一嚿雲；一碌木；成碌木；烏哩單刀；懵盛盛；慢半拍,呆瓜/糊里糊涂/反应迟钝/慢半拍,One step behind/half a bit slower/obtuse,,,,
L68,黐線,ci1 sin6,发神經；白痴；黐筋；黐孖筋；忽忽地；腎腎地；傻傻地,神经病/发神经/白痴,tool/mad/ridiculous,,,,
L69,死蠢,sei2 ceon2,蠢材；笨柒；笨撚柒；大番薯；人頭豬腦；死蠢,笨蛋/蠢货,dumb/imbecile,,,,
L70,扑街仔,bok1 gaai1 zai2,反骨仔；二五仔；戇鳩仔；懵仔；茂利；柒頭,死小子/孙子/臭小子/混蛋/王八蛋,Bastard/Asshole/shithead,,,他停车很缺德,He parked like a 
L71,扑街,bok1 gaai1 ,食屎；死你就去；,去死吧；吃屎去,Go to hell,,,,
L72,柒頭,cat6 tau4,柒頭皮；龜頭；柒轱辘；撚​樣,龟头,dickhead,该硬的时候不硬，浪费机会；形容应该出风头时不出来,Failing to stand up when you should has wasted an opportunity; describes someone who doesn't step up when they should be in the limelight.,评论人的一种状态，别人在局外人评价当事人行为,"A state of mind for commentators，Others, as outsiders, evaluate the behavior of the parties involved."
L73,非洲和尚,haak1 jan4 zang1,黑人憎,讨人厌，讨厌鬼,jerk,,,,
L74,樣衰,joeng2 seoi1,出丑；瘀嘢；好瘀；肉酸；醜樣,小丑/出洋相/难为情,clown,,,,
L75,垃圾,laap6 saap3,,失败者/废人,Loser,,,,
L76,收声,sau1 seng1,收皮,闭嘴,Shut up,,,,
L77,屌你,diu2 nei5 lou5 mou2,,去你的,Screw you,,,,
L78,你真系搞笑,nei5 zan1 hai6 gaau2 siu3,你真系好好笑/你真系笑撚死我,你就是个笑话,You're a joke,,,,
L79,老閪,,寸；串；招积；鸠屎；得戚；鸠屎；閪,拽；得瑟,,,,,
L80,俾人劏,,,被人宰,,,,,
L81,契爷,,,干爹,,,,,
L82,閪晒,,叼閪啦,完了/该死的,Damn it,,,,
L83,鳩噏,,鸠噏当秘笈；鸠噏柒喷,胡说/吹牛逼,,,,,
L84,醜樣,cau2 joeng2,樣衰；樣鸠衰；肉酸；難睇；唔順眼,丑陋,imbecile,外貌不讨好、不吸引,,,
L85,核突,wat6 dat6,鶻突；肉鸠酸,恶心,,,,,
L86,烚熟狗頭,sab³ sug⁶ geo² teo⁴,烚下烚下；四万甘口,傻笑的样子,,,,你看到她/他多么开心，就像...,"You see how happy she/he is, just like..."
L87,認頭,jing6 tau4,認數,承认关系,,,,,
L88,过山峰,,,眼镜王蛇,,,,,
L89,饭铲头,,,眼镜蛇,,,,,
L90,騎呢怪,ke4 le4 gwaai2,騎呢 ；旖旎；古怪；騎呢古怪；怪鸡,奇怪的人/奇葩/怪人,weirdo,性格​、​行为古怪又不正常的人​,People with strange and abnormal personalities and behaviors,这个人是一个奇葩,This person is a weirdo
L91,奇啦,,奇怪；出奇；屌啊,奇怪/意料之外,,,,,
L92,捞绞,,,复杂难搞,,,,,
L93,呃人,,揾笨；水人；老點人,,,,,,
L94,戾偈,lai2 gai6,唔順利；大鍋,棘手；不顺利,,,,,
L95,咪嚒,mi1 mo1,咪摩；痾裹；资整；娿哿,磨蹭；动作慢；慢吞吞,,,of one's pace of doing things) slow and clumsy,,
L96,咪咪嚒嚒,mi1 mi1 mo1 mo1,咪咪摩摩；资资整整,磨磨蹭蹭,,,,,
L97,痾裹,,,长气,,,,,
L98,,,资整,墨迹,,,,,
L99,娿哿,o1 go4,婆婆媽媽；婆媽,要求​多多，三心两意，犹豫不决,,,(of people) clumsy; troublesome; moaning,,
L100,惡啃,ok3 kang2,猪头骨,难以接受,,,,,
L101,,,,,,,,,
L102,,,,,,,,,
L103,,,,,,,,,
L104,,,,,,,,,
,,,,,,,,,
